cod_depto,nombre_depto,cod_mpio,nombre_mpio,mesas_informadas_pct,votos_abelardo,votos_cepeda,votos_blanco,votos_nulos,tarjetones_no_marcados
56,SAN ANDRES,56001,SAN ANDRES,100%,9316,11223,500,72,31
27,SANTANDER,27175,SAN ANDRES,100%,3284,890,50,40,12
13,CORDOBA,13040,SAN ANDRES DE SOTAVENTO,100%,7194,14114,153,101,39
29,TOLIMA,29106,SAN ANTONIO,100%,4361,1497,62,48,11
15,CUNDINAMARCA,15220,SAN ANTONIO DEL TEQUENDAMA,100%,4177,2520,81,46,3
13,CORDOBA,13043,SAN ANTERO,100%,7208,8112,142,61,30
27,SANTANDER,27178,SAN BENITO,100%,1339,254,8,3,1
15,CUNDINAMARCA,15223,SAN BERNARDO,100%,3220,1683,40,26,6
28,SUCRE,28180,SAN BENITO ABAD,100%,5821,6934,57,40,16
23,NARIÑO,23120,SAN BERNARDO,100%,2299,2625,93,53,9
13,CORDOBA,13046,SAN BERNARDO DEL VIENTO,100%,5173,10232,122,49,25
